AfterHoursChangeRealtime	AnnualizedGain	Ask	AskRealtime	AverageDailyVolume	Bid	BidRealtime	BookValue	Change	ChangeFromFiftydayMovingAverage	ChangeFromTwoHundreddayMovingAverage	ChangeFromYearHigh	ChangeFromYearLow	ChangePercentRealtime	ChangeRealtime	Change_PercentChange	ChangeinPercent	Commission	Currency	DaysHigh	DaysLow	DaysRange	DaysRangeRealtime	DaysValueChange	DaysValueChangeRealtime	DividendPayDate	DividendShare	DividendYield	EBITDA	EPSEstimateCurrentYear	EPSEstimateNextQuarter	EPSEstimateNextYear	EarningsShare	ErrorIndicationreturnedforsymbolchangedinvalid	ExDividendDate	FiftydayMovingAverage	HighLimit	HoldingsGain	HoldingsGainPercent	HoldingsGainPercentRealtime	HoldingsGainRealtime	HoldingsValue	HoldingsValueRealtime	LastTradeDate	LastTradePriceOnly	LastTradeRealtimeWithTime	LastTradeTime	LastTradeWithTime	LowLimit	MarketCapRealtime	MarketCapitalization	MoreInfo	Name	Notes	OneyrTargetPrice	Open	OrderBookRealtime	PEGRatio	PERatio	PERatioRealtime	PercebtChangeFromYearHigh	PercentChange	PercentChangeFromFiftydayMovingAverage	PercentChangeFromTwoHundreddayMovingAverage	PercentChangeFromYearLow	PreviousClose	PriceBook	PriceEPSEstimateCurrentYear	PriceEPSEstimateNextYear	PricePaid	PriceSales	SharesOwned	ShortRatio	StockExchange	Symbol	TickerTrend	TradeDate	TwoHundreddayMovingAverage	Volume	YearHigh	YearLow	YearRange	symbol
null	null	3.00	null	20254	2.97	null	3.18	0.00	-0.02	0.16	-0.18	1.10	null	null	0.00 - 0.00%	0.00%	null	CAD	3.00	3.00	3.00 - 3.00	null	null	null	10/15/2015	0.02	0.66	5.06M	0.03	0.00	null	0.00	null	9/28/2015	3.02	null	null	null	null	null	null	null	4/8/2016	3.00	null	3:33pm	3:33pm - <b>3.00</b>	null	null	97.80M	null	ADF GROUP INC	null	null	3.00	null	0.00	null	null	-5.66%	0.00%	-0.72%	5.51%	57.89%	3.00	0.94	null	15.00	null	1.11	null	0.02	TOR	DRX.to	null	null	2.84	11600	3.18	1.90	1.90 - 3.18	DRX
null	null	4.78	null	36247	4.75	null	0.00	-0.01	0.13	0.39	-0.57	0.80	null	null	-0.01 - -0.21%	-0.21%	null	CAD	4.77	4.71	4.71 - 4.77	null	null	null	3/28/2016	null	null	0.00	null	0.00	null	null	null	3/16/2016	4.62	null	null	null	null	null	null	null	4/8/2016	4.75	null	3:59pm	3:59pm - <b>4.75</b>	null	null	null	null	ABERDEEN ASIA-PACIFIC INCOME IN	null	null	4.76	null	0.00	null	null	-10.71%	-0.21%	2.72%	8.82%	20.25%	4.76	null	null	null	null	null	null	0.00	TOR	FAP.to	null	null	4.36	32669	5.32	3.95	3.95 - 5.32	FAP
null	null	0.135	null	57010	0.125	null	0.275	-0.005	0.005	0.001	-0.045	0.025	null	null	-0.005 - -3.846%	-3.846%	null	CAD	0.130	0.125	0.125 - 0.130	null	null	null	9/30/2012	0.000	0.000	0.00	null	0.000	null	-0.067	null	9/24/2012	0.120	null	null	null	null	null	null	null	4/8/2016	0.125	null	11:44am	11:44am - <b>0.125</b>	null	null	12.00M	null	ABERDEEN INTERNATIONAL INC.	null	null	0.130	null	0.000	null	null	-26.471%	-3.846%	3.919%	1.173%	25.000%	0.130	0.473	null	null	null	null	null	0.020	TOR	AAB.to	null	null	0.124	361500	0.170	0.100	0.100 - 0.170	AAB
null	null	29.20	null	11405	29.06	null	8.02	0.03	1.38	1.11	-0.80	5.85	null	null	0.03 - 0.10%	0.10%	null	CAD	29.42	29.02	29.02 - 29.42	null	null	null	4/29/2016	1.50	5.17	0.00	1.61	0.00	null	1.43	null	7/13/2015	27.82	null	null	null	null	null	null	null	4/8/2016	29.20	null	3:40pm	3:40pm - <b>29.20</b>	null	null	354.23M	null	A&W REVENUE ROYALTIES INCOME FU	null	null	29.38	null	0.00	20.36	null	-2.67%	0.10%	4.94%	3.96%	25.05%	29.17	3.64	null	null	null	11.12	null	0.50	TOR	AW-UN.to	null	null	28.09	9805	30.00	23.35	23.35 - 30.00	AW.UN
null	null	19.65	null	10319	19.20	null	15.96	0.06	-0.09	0.12	-2.12	3.01	null	null	0.06 - 0.31%	0.31%	null	CAD	19.64	19.20	19.20 - 19.64	null	null	null	4/15/2016	1.00	5.03	26.12M	1.18	0.16	null	0.81	null	3/29/2016	19.30	null	null	null	null	null	null	null	4/8/2016	19.21	null	3:59pm	3:59pm - <b>19.21</b>	null	null	321.40M	null	ACADIAN TIMBER CORP	null	null	19.26	null	-67.63	23.57	null	-9.94%	0.31%	-0.48%	0.63%	18.58%	19.15	1.20	16.28	15.75	null	3.80	null	0.20	TOR	ADN.to	null	null	19.09	3676	21.33	16.20	16.20 - 21.33	ADN
null	null	4.29	null	16230	4.24	null	0.00	0.09	-1.48	-1.89	-5.31	0.11	null	null	0.09 - 2.14%	2.14%	null	CAD	4.30	4.18	4.18 - 4.30	null	null	null	4/15/2016	null	null	0.00	null	0.00	null	-3.38	null	6/26/2015	5.77	null	null	null	null	null	null	null	4/8/2016	4.29	null	3:25pm	3:25pm - <b>4.29</b>	null	null	null	null	ACTIVENERGY INCOME FUND	null	null	4.20	null	0.00	null	null	-55.31%	2.14%	-25.59%	-30.53%	2.63%	4.20	null	null	null	null	null	null	0.00	TOR	AEU-UN.to	null	null	6.18	23601	9.60	4.18	4.18 - 9.60	AEU.UN
null	null	9.50	null	2565	9.40	null	8.38	-0.07	0.17	-0.13	-2.72	0.58	null	null	-0.07 - -0.74%	-0.74%	null	CAD	9.33	9.33	9.33 - 9.33	null	null	null	3/1/2016	0.36	3.83	0.00	null	0.00	null	1.00	null	2/10/2016	9.16	null	null	null	null	null	null	null	4/8/2016	9.33	null	12:12pm	12:12pm - <b>9.33</b>	null	null	77.50M	null	ACCORD FINANCIAL	null	null	9.33	null	0.00	9.30	null	-22.57%	-0.74%	1.80%	-1.39%	6.63%	9.40	1.12	null	null	null	2.69	null	0.00	TOR	ACD.to	null	null	9.46	200	12.05	8.75	8.75 - 12.05	ACD
null	null	0.16	null	413722	0.15	null	0.04	0.00	0.04	-0.18	-0.61	0.08	null	null	0.00 - 3.23%	3.23%	null	CAD	0.16	0.15	0.15 - 0.16	null	null	null	null	null	null	-3.80M	null	0.00	null	-0.04	null	null	0.12	null	null	null	null	null	null	null	4/8/2016	0.16	null	3:59pm	3:59pm - <b>0.16</b>	null	null	32.14M	null	ACERUS PHARMACEUTICALS CORP	null	null	0.16	null	0.00	null	null	-79.22%	3.23%	36.92%	-52.79%	100.00%	0.16	4.08	null	null	null	2.75	null	0.03	TOR	ASP.to	null	null	0.34	133300	0.77	0.08	0.08 - 0.77	ASP
null	null	4.70	null	28014	4.63	null	2.60	0.04	0.11	-2.10	-79.30	0.93	null	null	0.04 - 0.86%	0.86%	null	CAD	4.85	4.66	4.66 - 4.85	null	null	null	1/2/2007	0.00	0.00	-34.84M	-1.09	-0.74	null	-30.09	null	null	4.59	null	null	null	null	null	null	null	4/8/2016	4.70	null	3:54pm	3:54pm - <b>4.70</b>	null	null	29.74M	null	AETERNA ZENTARIS INC.	null	null	4.66	null	0.00	null	null	-94.40%	0.86%	2.38%	-30.92%	24.67%	4.66	1.79	null	null	null	64.94	null	0.03	TOR	AEZ.to	null	null	6.80	14528	84.00	3.77	3.77 - 84.00	AEZ
null	null	4.99	null	233227	4.93	null	11.41	-0.02	0.01	0.00	-3.54	1.18	null	null	-0.02 - -0.40%	-0.40%	null	CAD	5.07	4.93	4.93 - 5.07	null	null	null	4/18/2016	0.32	6.27	91.99M	0.47	0.00	null	0.58	null	4/6/2016	4.95	null	null	null	null	null	null	null	4/8/2016	4.96	null	4:00pm	4:00pm - <b>4.96</b>	null	null	394.69M	null	AGF MANAGEMENT LTD	null	null	5.07	null	0.00	8.61	null	-41.65%	-0.40%	0.20%	0.04%	31.22%	4.98	0.44	null	null	null	0.88	null	41.64	TOR	AGF-B.to	null	null	4.96	174937	8.50	3.78	3.78 - 8.50	AGF.B
null	null	6.80	null	831068	6.78	null	6.49	0.05	-0.19	-0.35	-1.57	0.94	null	null	0.05 - 0.74%	0.74%	null	CAD	6.93	6.71	6.71 - 6.93	null	null	null	null	0.00	0.00	177.89M	0.19	0.04	null	0.37	null	null	6.98	null	null	null	null	null	null	null	4/8/2016	6.79	null	4:00pm	4:00pm - <b>6.79</b>	null	null	1.16B	null	ADVANTAGE OIL & GAS LTD.	null	null	6.87	null	0.68	18.45	null	-18.78%	0.74%	-2.75%	-4.89%	16.07%	6.74	1.04	35.74	20.58	null	8.28	null	3.83	TOR	AAV.to	null	null	7.14	325817	8.36	5.85	5.85 - 8.36	AAV
null	null	19.15	null	null	18.52	null	0.00	0.00	18.66	18.66	-3.35	1.04	null	null	0.00 - 0.00%	0.00%	null	CAD	18.66	18.66	18.66 - 18.66	null	null	null	4/15/2016	null	null	0.00	null	0.00	null	-0.11	null	null	0.00	null	null	null	null	null	null	null	4/6/2016	18.66	null	12:54pm	12:54pm - <b>18.66</b>	null	null	29.72B	null	ADVANTAGED PREFERRED SHARE TRUS	null	null	18.66	null	0.00	null	null	-15.22%	0.00%	inf%	inf%	5.90%	18.66	null	null	null	null	null	null	0.00	TOR	PFR-UN.to	null	null	0.00	290	22.01	17.62	17.62 - 22.01	PFR.UN
null	null	6.98	null	null	6.54	null	0.00	0.00	6.54	6.54	-1.62	0.24	null	null	0.00 - 0.00%	0.00%	null	CAD	6.54	6.54	6.54 - 6.54	null	null	null	4/15/2016	null	null	0.00	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/7/2016	6.54	null	3:53pm	3:53pm - <b>6.54</b>	null	null	31.89B	null	ADVANTAGED CDN HIGH YIELD BOND	null	null	6.54	null	0.00	null	null	-19.85%	0.00%	inf%	inf%	3.81%	6.54	null	null	null	null	null	null	0.00	TOR	AHY-UN.to	null	null	0.00	3600	8.16	6.30	6.30 - 8.16	AHY.UN
null	null	16.30	null	308940	16.24	null	12.34	0.10	0.79	1.63	-0.38	6.02	null	null	0.10 - 0.62%	0.62%	null	CAD	16.30	16.08	16.08 - 16.30	null	null	null	4/1/2016	0.46	2.84	128.60M	0.96	0.08	null	0.84	null	3/18/2016	15.48	null	null	null	null	null	null	null	4/8/2016	16.27	null	4:00pm	4:00pm - <b>16.27</b>	null	null	918.56M	null	AECON GROUP INC	null	null	16.20	null	10.59	19.35	null	-2.28%	0.62%	5.10%	11.12%	58.73%	16.17	1.31	16.95	14.79	null	0.33	null	6.54	TOR	ARE.to	null	null	14.64	230868	16.65	10.25	10.25 - 16.65	ARE
null	null	2.10	null	274005	2.05	null	2.34	0.03	0.12	0.21	-0.73	0.63	null	null	0.03 - 1.46%	1.46%	null	CAD	2.11	2.06	2.06 - 2.11	null	null	null	null	null	null	-14.95M	-0.04	-0.01	null	-0.17	null	null	1.96	null	null	null	null	null	null	null	4/8/2016	2.08	null	4:00pm	4:00pm - <b>2.08</b>	null	null	949.35M	null	AFRICA OIL CORP	null	null	2.06	null	4.51	null	null	-25.98%	1.46%	6.05%	11.46%	43.45%	2.05	0.87	null	null	null	null	null	0.51	TOR	AOI.to	null	null	1.87	67380	2.81	1.45	1.45 - 2.81	AOI
null	null	105.75	null	null	105.15	null	0.00	0.05	null	null	-0.10	3.15	null	null	0.05 - 0.05%	0.05%	null	CAD	105.25	105.15	105.15 - 105.25	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/8/2016	105.15	null	1:53pm	1:53pm - <b>105.15</b>	null	null	null	null	AECON GROUP INC 5.50 PCT DEBS	null	null	null	null	0.00	null	null	-0.10%	0.05%	null	null	3.09%	105.10	null	null	null	null	null	null	null	TOR	ARE-DBB.to	null	null	null	10000	105.25	102.00	102.00 - 105.25	ARE.DB.B
